Ref;Val;Package;PosX;PosY;Rot;Side
"C1";"10u";"CP_EIA-3216-18_Kemet-A";21,590000;-88,900000;0,000000;top
"C2";"100n";"C_0603_1608Metric";21,450000;-24,130000;180,000000;top
"C3";"100n";"C_0603_1608Metric";29,070000;-24,130000;180,000000;top
"C4";"100n";"C_0603_1608Metric";21,450000;-59,690000;180,000000;top
"C5";"100n";"C_0603_1608Metric";29,070000;-59,690000;180,000000;top
"C6";"10u";"CP_EIA-3216-18_Kemet-A";21,590000;-93,980000;180,000000;top
"C7";"100n";"C_0603_1608Metric";25,540000;-34,290000;180,000000;top
"C8";"100n";"C_0603_1608Metric";33,160000;-34,290000;180,000000;top
"C9";"100n";"C_0603_1608Metric";25,540000;-69,850000;180,000000;top
"C10";"100n";"C_0603_1608Metric";33,160000;-69,850000;180,000000;top
"D1";"B5819W SL";"D_SOD-123";21,590000;-86,360000;0,000000;top
"D2";"B5819W SL";"D_SOD-123";21,590000;-96,520000;180,000000;top
"R1";"100k ±0,05%";"R_0805_2012Metric";31,750000;-23,495000;90,000000;top
"R2";"100k ±0,05%";"R_0805_2012Metric";19,050000;-29,210000;270,000000;top
"R3";"100k ±0,05%";"R_0805_2012Metric";15,240000;-6,350000;90,000000;top
"R4";"240";"R_0805_2012Metric";15,240000;-44,450000;270,000000;top
"R5";"100k ±0,05%";"R_0805_2012Metric";24,765000;-24,130000;180,000000;top
"R6";"100k ±0,05%";"R_0805_2012Metric";15,240000;-19,050000;90,000000;top
"R7";"100k ±0,05%";"R_0805_2012Metric";15,240000;-31,750000;90,000000;top
"R8";"100k ±0,05%";"R_0805_2012Metric";31,750000;-59,055000;90,000000;top
"R9";"100k ±0,05%";"R_0805_2012Metric";19,050000;-64,770000;270,000000;top
"R10";"100k ±0,05%";"R_0805_2012Metric";15,240000;-57,150000;90,000000;top
"R11";"240";"R_0805_2012Metric";15,240000;-95,250000;90,000000;top
"R12";"100k ±0,05%";"R_0805_2012Metric";24,765000;-59,690000;180,000000;top
"R13";"100k ±0,05%";"R_0805_2012Metric";15,240000;-69,850000;90,000000;top
"R14";"100k ±0,05%";"R_0805_2012Metric";15,240000;-82,550000;90,000000;top
"U1";"OP07CDR";"SO-8_3,9x4,9mm_P1,27mm";30,480000;-29,210000;90,000000;top
"U2";"OP07CDR";"SO-8_3,9x4,9mm_P1,27mm";22,860000;-29,210000;90,000000;top
"U3";"OP07CDR";"SO-8_3,9x4,9mm_P1,27mm";30,480000;-64,770000;90,000000;top
"U4";"OP07CDR";"SO-8_3,9x4,9mm_P1,27mm";22,860000;-64,770000;90,000000;top
