Designator;Mid X;Mid Y;Rotation;Layer
C1;21,59;-8,89;180;T
C2;17,145;-91,44;0;T
C3;17,145;-96,52;180;T
C4;19,685;-12,065;90;T
C5;12,065;-17,78;0;T
C6;22,225;-27,94;0;T
C7;12,065;-31,75;0;T
C8;22,38;-38,1;0;T
C9;12,065;-41,91;0;T
C10;21,59;-3,81;180;T
C11;21,59;-6,35;180;T
C12;12,065;-28,575;270;T
C13;22,225;-29,845;270;T
C14;22,225;-40,005;270;T
D3;17,145;-88,9;0;T
D4;17,145;-99,06;180;T
Q1;5,715;-28,575;0;T
R1;8,765;-14,605;180;T
R2;8,89;-12,065;180;T
R4;22,225;-16,51;0;T
R5;22,225;-17,78;180;T
R6;22,225;-15,24;180;T
R7;25,4;-25,4;0;T
R8;5,08;-24,765;0;T
R9;9,525;-28,575;90;T
R10;8,255;-28,575;90;T
R11;10,795;-28,575;270;T
R12;10,16;-91,44;0;T
R13;22,225;-32,385;90;T
R14;25,4;-29,845;90;T
R15;10,16;-80,01;0;T
R16;10,16;-68,58;0;T
R17;12,065;-57,15;0;T
R18;6,985;-49,085;270;T
R19;26,035;-42,545;90;T
R20;26,035;-40,005;90;T
T1;24,13;-22,225;180;T
U1;17,145;-15,875;0;T
U2;17,145;-29,845;0;T
U3;17,145;-40,005;0;T
